1	2	3
277	271	276
273	272	278
278	272	277
245	278	249
273	278	245
274	251	279
247	251	274
275	274	280
280	274	279
276	275	281
281	275	280
277	276	282
282	276	281
278	277	283
283	277	282
249	283	253
278	283	249
251	255	279
256	279	255
256	284	279
284	280	279
281	280	285
285	280	284
282	281	286
286	281	285
258	286	259
258	283	286
283	282	286
253	283	258
256	261	284
263	284	261
285	284	263
265	285	263
286	285	265
259	286	265
